text,label,split,cleaned_text
Sebuah survei yang dilakukan oleh Taloustutkimus untuk Sampo Life menunjukkan bahwa perusahaan sangat tidak siap untuk kehilangan karyawan kunci.,0,Train,survei taloustutkimus sampo life perusahaan sangat tidak kehilangan karyawan kunci
Pendapatan penjualan bersih per penumpang diharapkan meningkat.,2,Train,pendapatan penjualan bersih penumpang diharapkan meningkat
Kopi akan disajikan mulai pukul 14:30 EET serta setelah acara .,1,Train,kopi disajikan token_angka token_angka eet setelah acara
Layanan standar kami telah bertemu dengan penerimaan positif di antara para pelanggan kami serta di Itella.,2,Train,layanan standar bertemu penerimaan positif pelanggan itella
Analis yang disurvei oleh Thomson Financial memperkirakan pendapatan sebesar $69 juta untuk kuartal ini.,1,Train,analis disurvei thomson financial pendapatan sebesar token_angka juta kuartal
"RFID (Radio Frequency Identification) adalah metode yang disebut transportasi cerdas, dimana informasi dapat dibaca dan disimpan dari jarak jauh.",1,Train,rfid radio frequency identification metode transportasi cerdas dimana informasi dibaca disimpan dari jarak
"Selain itu, kontrak mencakup modifikasi pabrik pengolahan limbah di Follum.",1,Train,kontrak mencakup modifikasi pabrik pengolahan limbah follum
Pemerintah malah mengusulkan pertukaran saham negara di LMT ke saham TeliaSonera di Lattelecom.,1,Train,pemerintah mengusulkan pertukaran saham negara lmt ke saham teliasonera lattelecom
"Fortum memperkirakan belanja modal tahunannya dalam empat sampai lima tahun mendatang berada dalam kisaran EUR 0,8-1,2 miliar, seperti yang diumumkan sebelumnya.",1,Train,fortum belanja modal tahunannya kisaran token_uang token_angka miliar diumumkan
"Modal saham Alma Media Corporation (ID bisnis 1944757-4) adalah EUR 45.031.513,80 dan dibagi menjadi 75.052.523 saham .",1,Train,modal saham alma media corporation id bisnis token_angka token_angka token_uang token_angka dibagi menjadi token_angka token_angka saham
"Arus kas bersih dari aktivitas operasi negatif EUR 3,1 juta , dibandingkan dengan EUR 23,3 juta pada periode yang sama tahun 2009 .",0,Train,arus kas bersih dari aktivitas operasi negatif token_uang dibandingkan token_uang periode token_tahun
"Pekan lalu, grup logam dan teknologi Finlandia mengumumkan rencana untuk menjual lebih dari 80 persen unit teknologinya untuk melanjutkan tujuan strategis perusahaan menjadi pembuat baja nirkarat terbesar di dunia.",2,Train,pekan grup logam teknologi finlandia mengumumkan rencana menjual lebih dari token_persen unit teknologinya melanjutkan tujuan strategis perusahaan menjadi pembuat baja nirkarat terbesar dunia
"Perusahaan divestasi tersebut merupakan bagian dari area bisnis Pemerintah, Manufaktur & Ritel TietoEnator.",1,Train,perusahaan divestasi dari area bisnis pemerintah manufaktur ritel tietoenator
"Blok apartemen baru itu akan dibangun sangat dekat dengan pusat kota, jelas Ketua Dewan Pengurus AS YIT Ehitus Priit Sauk.",1,Train,blok apartemen dibangun sangat pusat kota ketua dewan pengurus yit ehitus priit sauk
Grup tersebut mengulangi ramalannya bahwa produsen handset akan menjual sekitar 915 juta unit tahun ini secara global.,1,Train,grup mengulangi ramalannya produsen handset menjual sekitar token_angka juta unit global
"Kategori produk daging dingin memimpin pasar daging , ikan , dan unggas di Finlandia , menyumbang pangsa sebesar 31,4 % .",1,Train,kategori produk daging dingin memimpin pasar daging ikan unggas finlandia menyumbang pangsa sebesar token_angka
Grup farmasi Orion Corp melaporkan penurunan pendapatan kuartal ketiganya yang terpukul oleh pengeluaran yang lebih besar pada R&D dan pemasaran.,0,Train,grup farmasi orion korporasi melaporkan penurunan pendapatan kuartal ketiganya terpukul pengeluaran lebih r pemasaran
"Anak perusahaan Finnair yang berbasis di Tallinn, Aero AS, mengangkut 23.335 penumpang, turun 60,8%, pada rute antara Helsinki dan ibu kota Baltik dan di Finlandia Selatan.",0,Train,anak perusahaan finnair berbasis tallinn aero mengangkut token_angka penumpang turun token_angka rute helsinki kota baltik finlandia selatan
"Dalam perdagangan bangunan dan perbaikan rumah, penjualan menurun sebesar 22,5% menjadi EUR 201,4 juta.",0,Train,perdagangan bangunan perbaikan rumah penjualan menurun sebesar token_angka menjadi token_uang
"Ini juga menghasilkan laba per saham (EPS) EUR 0,44 versus kerugian per saham EUR 2,26.",2,Train,menghasilkan laba saham eps token_uang versus kerugian saham token_uang
"Setelah penerbitan, saham baru tersebut akan menjadi 10 persen dari modal perusahaan.",1,Train,setelah penerbitan saham menjadi token_persen dari modal perusahaan
Perusahaan mengharapkan pembelian daging tetap sekitar 8 juta kilo pada tahun 2011 .,1,Train,perusahaan mengharapkan pembelian daging sekitar token_angka juta kilo token_tahun
"Nilai pemesanan sebesar EUR 6,9 juta, dan itu terdiri dari layanan desain dan lisensi perangkat keras dan perangkat lunak.",1,Train,nilai pemesanan sebesar token_uang dari layanan desain lisensi perangkat keras perangkat lunak
"Cakupan produk : makanan yang dipanggang ; biskuit ; sereal sarapan Cakupan data: historis dan prakiraan ukuran pasar, saham perusahaan, saham merek, dan data distribusi.",1,Train,cakupan produk makanan dipanggang biskuit sereal sarapan cakupan data historis prakiraan ukuran pasar saham perusahaan saham merek data distribusi
"Selain itu, delegasi Kazakh akan mengunjungi dana investasi SITRA Finlandia, Honkarakenne Ltd dan kantor pusat Nokia untuk mempelajari kegiatan JSC TeliaSonera Ltd.",1,Train,delegasi kazakh mengunjungi dana investasi sitra finlandia honkarakenne ltd kantor pusat nokia mempelajari kegiatan jsc teliasonera ltd
"Sumber alami isoprena adalah jenis pohon Hevea brasiliensis, juga dikenal sebagai pohon karet.",1,Train,sumber alami isoprena jenis pohon hevea brasiliensis dikenal pohon karet
"Konsultan TI Finlandia Satama Interactive Oyj membukukan keuntungan bersih sebesar 1,4 juta euro $2,0 juta untuk sembilan bulan pertama tahun 2007 , dibandingkan dengan kerugian bersih sebesar 462.000 euro $664.000 untuk periode yang sama tahun 2006 .",2,Train,konsultan ti finlandia satama interactive perusahaan publik membukukan keuntungan bersih sebesar token_angka juta euro token_angka juta sembilan token_tahun dibandingkan kerugian bersih sebesar token_angka euro token_angka periode token_tahun
"( ADP News ) - Penyedia sistem penanganan Finlandia Cargotec Oyj ( HEL : CGCBV ) mengumumkan pada hari Jumat mereka memenangkan pesanan senilai EUR 10 juta ( USD 13,2 juta ) untuk mengirimkan linkpans ke Yordania , Maroko dan Irlandia .",2,Train,adp news penyedia sistem penanganan finlandia cargotec perusahaan publik bursa efek helsinki cgcbv mengumumkan jumat memenangkan pesanan senilai token_uang token_uang mengirimkan linkpans ke yordania maroko irlandia
"Volume penumpang naik 8,4% dalam periode akuntansi.",2,Train,volume penumpang naik token_angka periode akuntansi
"Pembayaran perolehan hingga 4,0 juta euro ($ 5,3 juta) juga dapat dibayarkan tergantung pada kinerja keuangan Intellibis pada tahun 2007 .",1,Train,pembayaran perolehan hingga token_angka juta euro token_angka juta dibayarkan tergantung kinerja keuangan intellibis token_tahun
Laba sebelum pajak naik menjadi EUR 1.019 juta dari EUR 1.007 pada periode yang sama tahun 2005 .,2,Train,laba pajak naik menjadi token_uang dari token_uang periode token_tahun
"Saham diperdagangkan di atas kedua MAP dan MAP 50 hari SEK72 .983 lebih tinggi dari MAP 200 hari SEK70 .283, indikator bullish.",2,Train,saham diperdagangkan atas map map token_angka sek72 token_angka lebih dari map token_angka sek70 token_angka indikator bullish
"Kontrak mencakup pengiriman turnkey ke kelima bandara yang dioperasikan oleh otoritas -- John F Kennedy , LaGuardia , Newark , Teterboro dan Stewart International .",1,Train,kontrak mencakup pengiriman turnkey ke bandara dioperasikan otoritas john f kennedy laguardia newark teterboro stewart international
"T Corp. yang berbasis di AS sedang dalam pembicaraan dengan perusahaan telekomunikasi Skandinavia TeliaSonera untuk menjual sahamnya di operator seluler Uzbekistan Coscom, kata seorang eksekutif di Coscom kepada Interfax.",1,Train,corp berbasis pembicaraan perusahaan telekomunikasi skandinavia teliasonera menjual sahamnya operator seluler uzbekistan coscom eksekutif coscom interfax
Dividen yang dibayarkan setiap tahun harus dipotong dari harga pemesanan saham.,1,Train,dividen dibayarkan dipotong dari harga pemesanan saham
Para pihak sepakat untuk tidak mengungkapkan nilai transaksi.,1,Train,sepakat tidak nilai transaksi
"Pada Januari-September 2007 , penjualan bersih grup dari operasi yang dilanjutkan meningkat menjadi EUR 213,1 juta dari EUR 172,6 juta pada periode yang sama di tahun 2006 .",2,Train,januari september token_tahun penjualan bersih grup dari operasi dilanjutkan meningkat menjadi token_uang dari token_uang periode token_tahun
"Pada 1411 CET , ArcelorMittal telah kehilangan 7,26 % menjadi EUR 17,38 di Euronext Paris , memimpin para penebang blue - chip .",0,Train,token_angka cet arcelormittal kehilangan token_angka menjadi token_uang euronext paris memimpin penebang blue chip
"Kuartal terakhir adalah kuartal terbaik tahun 2009 dalam penjualan bersih, dan marjin operasi naik menjadi 12,2%.",2,Train,kuartal kuartal terbaik token_tahun penjualan bersih marjin operasi naik menjadi token_angka
"Perputaran melonjak menjadi EUR61 ,8 juta dari EUR47 ,6 juta karena meningkatnya permintaan layanan , terutama pada kuartal ketiga , dan pertumbuhan bisnis secara keseluruhan .",2,Train,perputaran melonjak menjadi token_uang token_angka juta dari token_uang token_angka juta karena meningkatnya permintaan layanan kuartal ketiga pertumbuhan bisnis
Tidak ada rincian keuangan dari penempatan yang diungkapkan.,1,Train,tidak rincian keuangan dari penempatan
Nilai kesepakatan itu belum diungkapkan.,1,Train,nilai kesepakatan belum
`` Kami memiliki perjanjian lisensi dengan Nokia Corp. yang sebagian berakhir pada tanggal 9 April 2007.,1,Train,memiliki perjanjian lisensi nokia corp tanggal token_angka april token_tahun
"Laba operasional mencapai EUR 30,2 juta, turun dari EUR 43,8 juta setahun sebelumnya.",0,Train,laba operasional mencapai token_uang turun dari token_uang setahun
"Perusahaan daging Finlandia, Atria, tidak bisa lagi menjanjikan jumlah daging sapi dalam negeri yang cukup kepada pelanggannya.",0,Train,perusahaan daging finlandia atria tidak menjanjikan daging sapi negeri cukup pelanggannya
Nilai gabungan pesanan adalah EUR 45 juta.,1,Train,nilai gabungan pesanan token_uang
"Laba operasi dan penjualan bersih untuk periode 12 bulan meningkat , masing - masing dari EUR20 ,8 m dan EUR177 ,7 m , dibandingkan dengan tahun keuangan 2004 .",2,Train,laba operasi penjualan bersih periode token_angka meningkat dari token_uang token_angka token_uang token_angka dibandingkan keuangan token_tahun
"Hasil terbaru termasuk biaya per saham sebesar 5 sen untuk kompensasi saham, 1 sen untuk penelitian dan pengembangan, dan 1 sen untuk investasi strategis.",1,Train,hasil terbaru biaya saham sebesar token_angka sen kompensasi saham token_angka sen penelitian pengembangan token_angka sen investasi strategis
Kelompok pelanggan pertama yang akan dilatih adalah pemilik toko cat dan asisten mereka .,1,Train,kelompok pelanggan dilatih pemilik toko cat asisten
"20 Oktober 2010 - Perusahaan produk logam Finlandia Componenta Oyj HEL : CTH1V mengatakan kemarin bahwa kerugian bersih menyempit menjadi EUR7 juta untuk sembilan bulan pertama tahun 2010 dari EUR23 ,3 juta untuk periode yang sama tahun 2009 .",2,Train,token_angka oktober token_tahun perusahaan produk logam finlandia componenta perusahaan publik bursa efek helsinki cth token_angka v kemarin kerugian bersih menyempit menjadi token_uang sembilan token_tahun dari token_uang token_angka juta periode token_tahun
Layanan manajemen investasi dan penasehat investasi adalah satu-satunya lini bisnis perusahaan.,1,Train,layanan manajemen investasi penasehat investasi satunya lini bisnis perusahaan
CV dari calon anggota tersedia untuk dilihat mulai 12 Maret 2008 dan seterusnya di Internet di www.sampo.com/ir .,1,Train,cv dari calon anggota tersedia token_angka maret token_tahun internet
Amanda Capital memiliki investasi di 22 dana ekuitas swasta dan di lebih dari 200 perusahaan tanpa kuotasi terutama di Eropa.,1,Train,amanda capital memiliki investasi token_angka dana ekuitas swasta lebih dari token_angka perusahaan kuotasi eropa
"Perusahaan yang berbasis di Helsinki, yang juga memiliki merek Salomon, Atomic dan Suunto, mengatakan laba bersih naik 15 persen dalam tiga bulan hingga 31 Desember menjadi (x20ac) 47 juta ($61US juta), dari (x20ac) 40,8 juta per bulan. tahun sebelumnya.",2,Train,perusahaan berbasis helsinki memiliki merek salomon atomic suunto laba bersih naik token_persen hingga token_angka desember menjadi euro token_angka juta token_angka dolar juta dari euro token_angka juta
Bank melihat potensi saham Getinge naik.,2,Train,bank potensi saham getinge naik
"Pengembang solusi perangkat lunak keamanan dan privasi Finlandia Stonesoft Oyj mengatakan pada 7 Januari 2008 bahwa penjualan awal produk StoneGate tumbuh sebesar 59 persen tahun-ke-tahun menjadi 3,6 juta euro ($5,3 juta) untuk kuartal keempat tahun 2007.",2,Train,pengembang solusi perangkat lunak keamanan privasi finlandia stonesoft perusahaan publik token_angka januari token_tahun penjualan produk stonegate tumbuh sebesar token_persen ke menjadi token_angka juta euro token_angka juta kuartal keempat token_tahun
"Tecnomen, berkantor pusat di Espoo, Finlandia, mengembangkan solusi perpesanan dan pengisian daya untuk operator telekomunikasi dan penyedia layanan di seluruh dunia.",1,Train,tecnomen berkantor pusat espoo finlandia mengembangkan solusi perpesanan pengisian daya operator telekomunikasi penyedia layanan dunia
"Anda harus siap ketika jendela dibuka, kata Rosberg.",1,Train,jendela dibuka rosberg
Rapala mengatakan pihaknya memperkirakan akan menghemat 1-2 juta euro per tahun dengan memusatkan operasi Prancisnya di satu lokasi.,2,Train,rapala menghemat token_angka token_angka juta euro memusatkan operasi prancisnya lokasi
Mitra Kemira dalam proyek ini adalah St. Petersburg Water Works.,1,Train,mitra kemira proyek st petersburg water works
"Perusahaan juga menunjuk Leif Rosen sebagai kepala unit Special Plate yang meliputi unit plat kuarto di Degerfors, Swedia, dan New Castle, USA, unit di Willich, Jerman, serta Pressplate dan Prefab di Avesta dan Plate Service Center Nordic di Degerfors.",1,Train,perusahaan leif rosen kepala unit special plate meliputi unit plat kuarto degerfors swedia new castle usa unit willich jerman pressplate prefab avesta plate service center nordic degerfors
"- Inge Larsen (CFO), 29.045 saham, mewakili 0,50% dari modal saham.",1,Train,inge larsen cfo token_angka saham mewakili token_angka dari modal saham
"Operasi yang akan dijual meliputi unit manufaktur di Finlandia, Perancis, Polandia dan Turki, serta unit penjualan di Jerman dan Lituania.",1,Train,operasi dijual meliputi unit manufaktur finlandia perancis polandia turki unit penjualan jerman lituania
"ADP News - Apr 22, 2009 - Pengembang sistem informasi bisnis Finlandia Solteq Oyj HEL: STQ1V mengatakan hari ini kerugian bersihnya melebar menjadi EUR 189.000 USD 245.000 untuk kuartal pertama 2009 dari EUR 10.000 untuk peri yang sama",0,Train,adp news apr token_angka token_tahun pengembang sistem informasi bisnis finlandia solteq perusahaan publik hel stq token_angka v kerugian bersihnya melebar menjadi token_uang token_uang kuartal token_tahun dari token_uang peri
"Pada akhir 2006, jumlah outlet akan bertambah menjadi 60-70 outlet.",2,Train,token_tahun outlet bertambah menjadi token_angka token_angka outlet
"Dana real estat pertama CapMan, yang memiliki total kapasitas investasi (EURO) 500 juta dan ditutup pada Juni 2005, diinvestasikan dalam properti komersial di wilayah metropolitan Helsinki.",1,Train,dana real estat capman memiliki total kapasitas investasi euro token_angka juta ditutup juni token_tahun diinvestasikan properti komersial wilayah metropolitan helsinki
"Diterbitkan oleh Globes online, berita bisnis Israel - www.globes-online.com - pada 16 November 2009 -® Hak Cipta Penerbit Globes Itonut 1983 Ltd. 2009",1,Train,diterbitkan globes online berita bisnis israel token_angka november token_tahun hak cipta penerbit globes itonut token_tahun ltd token_tahun
"Efek mata uang memiliki 3,0 persen, atau 20 juta euro ($31,3 juta), dampak negatif pada pendapatan.",0,Train,efek mata uang memiliki token_persen token_angka juta euro token_angka juta dampak negatif pendapatan
"Nama Pemohon : Jot Automation OYNama Inventor : Mammila Tuomo , Piirainen Mika dan Kellokoski MikaNomor Permohonan : 2424-KOLNP-2008 ADTanggal Pengajuan Permohonan : 16-06-2008Tanggal Publikasi : 30/01/2009",1,Train,nama pemohon jot automation oynama inventor mammila tuomo piirainen mika kellokoski mikanomor permohonan token_angka kolnp token_tahun adtanggal pengajuan permohonan token_angka token_angka 2008tanggal publikasi token_angka token_angka token_tahun
"Di posisinya saat ini, Manty telah bekerja sejak 1996.",1,Train,posisinya manty token_tahun
"Produsen kemasan konsumen Finlandia Huhtamaki Oyj mengatakan laba bersihnya mencapai 84,1 juta euro $ 105,6 juta dalam sembilan bulan pertama tahun 2006 dari kerugian bersih 2,6 juta euro $ 3,3 juta pada periode yang sama tahun 2005 .",2,Train,produsen kemasan konsumen finlandia huhtamaki perusahaan publik laba bersihnya mencapai token_angka juta euro token_angka juta sembilan token_tahun dari kerugian bersih token_angka juta euro token_angka juta periode token_tahun
"Total volume pengiriman bisnis kertas pada tahun 2010 adalah 1.155.000 ton , naik dari 1.132.000 ton pada tahun 2009 .",2,Train,total volume pengiriman bisnis kertas token_tahun token_angka token_angka ton naik dari token_angka token_angka ton token_tahun
AffectoGenimap membangun solusi TI yang sangat disesuaikan untuk pelanggannya di Finlandia dan negara-negara Baltik.,1,Train,affectogenimap membangun solusi ti sangat disesuaikan pelanggannya finlandia negara negara baltik
Dragonfly Love adalah pengambilan video lain dari awal hingga akhir menggunakan Nokia N8.,1,Train,dragonfly love pengambilan video dari hingga nokia n8
Ide penghematan listrik dalam transfer data memang masih baru.,1,Train,ide penghematan listrik transfer data
"Bersama dengan Latvia, Cramo akan mengoperasikan 54 gerai persewaan di negara-negara Baltik.",1,Train,latvia cramo mengoperasikan token_angka gerai persewaan negara negara baltik
Registrasi diperlukan.,1,Train,registrasi
"Sebelumnya , pabrik itu diharapkan selesai pada akhir 2008 .",1,Train,pabrik diharapkan selesai token_tahun
"Sumbangan diberikan kepada Universitas Aalto dan universitas Helsinki , Tampere , Turku , Finlandia Timur , Jyv+ñskyl+ñ , Oulu dan Vaasa , dan kepada politeknik yang akan diumumkan kemudian .",1,Train,sumbangan universitas aalto universitas helsinki tampere turku finlandia timur jyv ñskyl ñ oulu vaasa politeknik diumumkan
Perputaran naik menjadi EUR21 juta dari EUR17 juta.,2,Train,perputaran naik menjadi token_uang dari token_uang
"Laba operasional untuk periode tiga bulan meningkat dari EUR1 ,2 m , sedangkan pendapatan meningkat dari EUR20 ,2 m , dibandingkan dengan periode yang sama tahun 2005 .",2,Train,laba operasional periode meningkat dari token_uang token_angka pendapatan meningkat dari token_uang token_angka dibandingkan periode token_tahun
Tautan terkait : Operasi beban dasar yang fleksibel Kumpulan pembangkit Wartsila32 Gasconversions Ini adalah versi terpendek dari dua versi siaran pers ini .,1,Train,tautan terkait operasi beban dasar fleksibel kumpulan pembangkit wartsila32 gasconversions versi terpendek dari versi siaran pers
"SSH Communications Security Corporation berkantor pusat di Helsinki, Finlandia.",1,Train,ssh communications security corporation berkantor pusat helsinki finlandia
Ketentuan transaksi tetap dirahasiakan.,1,Train,ketentuan transaksi dirahasiakan
"HELSINKI ( AFX ) - Ban Nokian melaporkan laba sebelum pajak kuartal keempat sebesar 61,5 juta euro, naik dari 48,6 juta didukung oleh penjualan yang kuat.",2,Train,helsinki afx ban nokian melaporkan laba pajak kuartal keempat sebesar token_angka juta euro naik dari token_angka juta didukung penjualan kuat
"Pekerjaan akan mencakup peletakan trotoar batu alam dan pemasangan pemanas bawah tanah, serta sistem drainase air permukaan.",1,Train,pekerjaan mencakup peletakan trotoar batu alam pemasangan pemanas bawah tanah sistem drainase air permukaan
Bank juga memeriksa manfaat pengalihan bisnis Swedia untuk beroperasi sebagai kantor cabang sehingga operasinya akan diatur oleh undang-undang Finlandia.,1,Train,bank memeriksa manfaat pengalihan bisnis swedia beroperasi kantor cabang operasinya diatur undang undang finlandia
"Namun , pesanan yang diterima selama periode yang ditinjau turun sebesar 17 % kuartal ke kuartal dari EUR 213 juta yang tercatat pada kuartal kedua tahun 2010 .",0,Train,namun pesanan diterima selama periode ditinjau turun sebesar token_angka kuartal ke kuartal dari token_uang tercatat kuartal token_tahun
Saham naik untuk hari kedua pada hari Rabu membawa kenaikan dua hari ke GBX12 .0 atau 2.0%.,2,Train,saham naik rabu membawa kenaikan ke gbx12 token_angka token_angka
"Kerugian sebelum pajak berjumlah EUR 0,3 juta , dibandingkan dengan kerugian sebesar EUR 2,2 juta pada kuartal pertama tahun 2005 .",2,Train,kerugian pajak token_uang dibandingkan kerugian sebesar token_uang kuartal token_tahun
Perubahan model as-built dari desain dikomunikasikan kepada subkontraktor untuk diakomodasi ke dalam proses fabrikasi baja dan GRC.,1,Train,perubahan model built dari desain dikomunikasikan subkontraktor diakomodasi ke proses fabrikasi baja grc
"Nilai wajar investasi CapMan Plc pada tanggal 30 September 2008 adalah sebesar MEUR 59,8 .",1,Train,nilai wajar investasi capman perusahaan publik tanggal token_angka september token_tahun sebesar meur token_angka
SIARAN PERS Alma Media Corporation 25 Maret 2010 PEMBELIAN TYRV+ä+äN SANOMAT DIKONFIRMASI Operasi bisnis Tyrv+ñ+ñn Sanomat Oy akan dialihkan ke Suomen Paikallissanomat Oy .,1,Train,siaran pers alma media corporation token_angka maret token_tahun pembelian tyrv ä än sanomat dikonfirmasi operasi bisnis tyrv ñ ñn sanomat perusahaan dialihkan ke suomen paikallissanomat perusahaan
"Laba operasi dan penjualan bersih untuk periode enam bulan meningkat , masing - masing dari EUR0 ,4 m dan EUR3 ,2 m , dibandingkan dengan periode yang sama tahun 2005 .",2,Train,laba operasi penjualan bersih periode enam meningkat dari token_uang token_angka token_uang token_angka dibandingkan periode token_tahun
"Rasio ekuitas adalah 60,9 % dibandingkan dengan 54,2 % Pada kuartal ketiga tahun 2007 , penjualan bersih Bisnis Makanan Beku mencapai EUR 11,0 , naik sekitar 5 % dari kuartal ketiga tahun 2006 .",2,Train,rasio ekuitas token_angka dibandingkan token_angka kuartal ketiga token_tahun penjualan bersih bisnis makanan beku mencapai token_uang naik sekitar token_angka dari kuartal ketiga token_tahun
"Diluted earning per share ( EPS ) turun menjadi EUR 0,78 dari EUR 1,76 .",0,Train,diluted earning share eps turun menjadi token_uang dari token_uang
"Pengembalian investasi adalah 16,6 % dibandingkan dengan 15,8 % pada tahun 2004 .",2,Train,pengembalian investasi token_angka dibandingkan token_angka token_tahun
Langkah-langkah tersebut dihasilkan dari negosiasi bersama menurut undang-undang dengan karyawan yang dimulai pada bulan Februari dan menyangkut semua operasi di negara tersebut.,1,Train,langkah langkah dihasilkan dari negosiasi undang undang karyawan februari operasi negara
"+£lemiste City adalah lingkungan untuk ekonomi berbasis pengetahuan yang menyediakan pekerjaan bagi 3.300 orang dengan total omset perusahaannya sebesar EEK 5,4 miliar , '' kata +£lo P+ñrnits , ketua dewan pengawas +£lemiste Kota dan Utama.",1,Train,lemiste city lingkungan ekonomi berbasis pengetahuan menyediakan pekerjaan token_angka orang total omset perusahaannya sebesar eek token_angka miliar lo p ñrnits ketua dewan pengawas lemiste kota utama
"Laba operasi berjumlah EUR 9,4 juta , turun dari EUR 11,7 juta pada tahun 2004 .",0,Train,laba operasi token_uang turun dari token_uang token_tahun
Olli-Pekka Laine telah ditunjuk sebagai Ketua dan Erkki Pehu-Lehtonen sebagai Wakil Ketua Dewan.,1,Train,olli pekka laine ketua erkki pehu lehtonen wakil ketua dewan
"France T+®l+®com menghabiskan lebih banyak waktu mempelajari TeliaSonera daripada target pengambilalihan potensial lainnya karena memiliki pemegang saham yang ingin menjual, kata Pellissier.",1,Train,france l com menghabiskan lebih mempelajari teliasonera target pengambilalihan potensial karena memiliki pemegang saham menjual pellissier
Pembuatan pasar sesuai kesepakatan akan dimulai pada 24 September 2009 .,1,Train,pembuatan pasar sesuai kesepakatan token_angka september token_tahun
Perusahaan melayani sekitar 3.000 pelanggan di lebih dari 100 negara.,1,Train,perusahaan melayani sekitar token_angka pelanggan lebih dari token_angka negara
"Grup Alfa akan memiliki 43,9% saham voting di perusahaan baru dan Telenor 35,4% dengan free float 20,7%.",1,Train,grup alfa memiliki token_angka saham voting perusahaan telenor token_angka free float token_angka
"ALEXANDRIA, Va., 15 Maret – Jaakko Vilo dari Turku, Finlandia, telah mengembangkan pers panel.",1,Train,alexandria va token_angka maret jaakko vilo dari turku finlandia mengembangkan pers panel
